type,method,difference
CF,D,0.1334
CF,D,0.0949
CF,D,0.0954
CF,D,0.0847
CF,D,0.0769
CF,D,0.0832
CF,D,0.1806
CF,D,0.0951
CF,D,0.0181
CF,D,0.0365
CF,D,0.231
CF,D,0.1139
CF,D,0.0308
CF,D,0.0661
CF,D,0.0549
CF,D,0.1294
CF,D,0.1947
CF,D,0.0881
CF,D,0.0458
CF,D,0.1294
CF,D,0.1452
CF,D,-0.1219
CF,D,0.1504
CF,D,0.094
CF,D,0.0473
CF,D,0.1256
CF,D,0.2378
CF,D,0.1517
CF,D,0.1805
CF,D,0.1557
CF,D,0.2081
CF,D,0.1794
CF,D,0.1844
CF,D,0.1882
CF,D,0.2594
CF,D,0.1328
CF,D,0.1768
CF,D,0.1753
CF,D,0.1123
CF,D,0.0703
CF,D,0.0417
CF,D,0.0406
CF,D,0.0818
CF,D,0.1048
CF,D,0.0644
CF,D,0.0821
CF,D,0.0988
CF,D,0.0599
CF,D,0.0777
CF,D,0.0484
CF,D,0.1257
CF,D,0.0728
CF,D,0.0975
CF,D,0.1043
CF,D,0.0718
CF,D,0.1713
CF,D,0.1161
CF,D,0.1093
CF,D,0.097
CF,D,0.079
CF,D,0.0605
CF,D,0.0533
CF,D,0.3234
CF,D,0.3034
CF,D,0.1891
CF,D,0.2601
CF,D,0.2137
CF,D,0.3321
CF,D,0.1623
CF,D,0.1808
CF,D,0.2395
CF,D,0.2181
CF,D,0.1541
CF,D,0.2203
CF,D,0.1176
CF,D,0.142
CF,D,0.1097
CF,D,0.1143
CF,D,0.1672
CF,D,0.1675
CF,D,0.0911
CF,D,0.1146
CF,D,0.0896
CF,D,0.1616
CF,D,0.1162
CF,D,0.104
CF,D,0.1121
CF,D,0.0471
CF,D,0.1558
CF,D,0.1459
CF,D,0.0915
CF,D,0.1605
CF,D,0.1336
CF,D,0.0679
CF,D,0.1219
CF,D,0.138
CF,D,0.088
CF,D,0.0975
CF,D,0.2237
CF,D,0.2901
CF,D,0.1617
CF,D,0.1882
CF,D,0.1123
CF,D,0.2496
CF,D,0.153
CF,D,0.1119
CF,D,0.2067
CF,D,0.1849
CF,D,0.1829
CF,D,0.197
CF,D,0.1507
CF,D,0.1359
CF,D,0.2131
CF,D,0.1195
CF,D,0.235
CF,D,0.162
CF,D,0.1039
CF,D,0.069
CF,D,0.0787
CF,D,0.1444
CF,D,0.1292
CF,D,0.0737
CF,D,0.1332
CF,D,0.1083
CF,D,0.2022
CF,D,0.1146
CF,D,0.0244
CF,D,0.0691
CF,D,0.08
CF,D,0.0627
CF,D,0.11
CF,D,0.0275
CF,D,0.0191
CF,D,0.1568
CF,D,0.3041
CF,D,0.3089
CF,D,0.2417
CF,D,0.2627
CF,D,0.2817
CF,D,0.3211
CF,D,0.2122
CF,D,0.2181
CF,D,0.1642
CF,D,0.1155
CF,D,0.2134
CF,D,0.355
CF,D,0.153
CF,D,0.1102
CF,D,0.0637
CF,D,0.0915
CF,D,0.1555
CF,D,0.275
CF,D,0.11
CF,D,0.1711
CF,D,0.0657
CF,D,0.0932
CF,D,0.1351
CF,D,0.0892
CF,D,0.2356
CF,D,0.1362
CF,D,0.197
CF,D,0.1189
CF,D,0.1622
CF,D,0.01
CF,D,0.0563
CF,D,0.0797
CF,D,0.0544
CF,D,0.0698
CF,D,0.1166
CF,D,0.0644
CF,D,0.1977
CF,D,0.1263
CF,D,0.2628
CF,D,0.1804
CF,D,0.2262
CF,D,0.2278
CF,D,0.1759
CF,D,0.1855
CF,D,0.2002
CF,D,0.2105
CF,D,0.2126
CF,D,0.2391
CF,D,0.0877
CF,D,0.066
CF,D,0.0938
CF,D,0.0624
CF,D,0.191
CF,D,0.0695
CF,D,0.1867
CF,D,0.0803
CF,D,0.0688
CF,D,0.077
CF,D,0.1724
CF,D,0.1045
CF,D,0.2109
CF,D,0.1568
CF,D,0.1266
CF,D,0.1284
CF,D,0.1226
CF,D,0.07
CF,D,0.0995
CF,D,0.0833
CF,D,0.1513
CF,D,0.1423
CF,D,0.1657
CF,D,0.0734
CF,D,0.2233
CF,D,0.1789
CF,D,0.2144
CF,D,0.1875
CF,D,0.2445
CF,D,0.1891
CF,D,0.1654
CF,D,0.1604
CF,D,0.1664
CF,D,0.2395
CF,D,0.1499
CF,D,0.2113
CF,D,0.1197
CF,D,0.0702
CF,D,0.0682
CF,D,0.0273
CF,D,0.101
CF,D,0.083
CF,D,0.1032
CF,D,0.1258
CF,D,0.0866
CF,D,0.0845
CF,D,0.0828
CF,D,0.0169
CF,D,0.1081
CF,D,0.12
CF,D,0.1834
CF,D,0.0879
CF,D,0.0647
CF,D,0.0699
CF,D,0.0715
CF,D,0.0499
CF,D,0.0683
CF,D,0.1042
CF,D,0.1144
CF,D,0.0599
CF,D,0.0944
CF,D,-0.0404
CF,D,0.105
CF,D,-0.018
CF,D,0.2207
CF,D,0.2009
CF,D,0.1708
CF,D,0.2373
CF,D,0.3181
CF,D,0.3439
CF,D,0.2433
CF,D,0.2989
CF,D,0.2962
CF,D,0.3113
CF,D,0.2374
CF,D,0.264
CF,D,0.3027
CF,D,0.3433
CF,D,0.2801
CF,D,0.3583
CF,D,0.2587
CF,D,0.3071
CF,D,0.2359
CF,D,0.2948
CF,D,0.27
CF,D,0.3027
CF,D,0.2227
CF,D,0.3047
CF,D,0.0383
CF,D,0.0527
CF,D,0.0821
CF,D,0.1209
CF,D,-0.0267
CF,D,0.0138
CF,D,-0.0128
